0 V_SCALE_BC_RAD_NI V_SCALE_DU_RAD_NI V_SCALE_DRYDEP_ACC V_SCALE_DRYDEP_AIT V_SCALE_DRYDEP_COA V_SCALE_EMI_BB V_SCALE_EMI_BF V_SCALE_EMI_ANTH_SO2 V_SCALE_EMI_DUST V_SCALE_SO2_REACTIONS V_SCALE_EMI_SSA V_SCALE_EMI_CMR_BB V_SCALE_EMI_CMR_BF V_SCALE_EMI_CMR_FF V_SCALE_EMI_DMS V_SCALE_EMI_FF V_SCALE_NUC_BL V_SCALE_NUC_FT V_SCALE_SO4_COATING V_SCALE_PH_PERT V_SCALE_VERTICAL_VELOCITY V_SCALE_WETDEP_BC V_SCALE_WETDEP_BC_BC_ONLY V_SCALE_WETDEP_IC V_SCALE_WETDEP_IC_BC_ONLY V_SCALE_WATER INSTALL START END
TEST_V_SCALE_BC_RAD_NI 4 0.17 0.08 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
TEST_V_SCALE_DU_RAD_NI 0.75 4 0.08 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
TEST_V_SCALE_DRYDEP_ACC 0.75 0.17 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
TEST_V_SCALE_DRYDEP_AIT 0.75 0.17 0.08 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
TEST_V_SCALE_DRYDEP_COA 0.75 0.17 0.08 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
TEST_V_SCALE_EMI_BB 0.75 0.17 0.08 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
TEST_V_SCALE_EMI_BF 0.75 0.17 0.08 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
TEST_V_SCALE_EMI_ANTH_SO2 0.75 0.17 0.08 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
TEST_V_SCALE_EMI_DUST 0.75 0.17 0.08 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
TEST_V_SCALE_SO2_REACTIONS 0.75 0.17 0.08 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
TEST_V_SCALE_EMI_SSA 0.75 0.17 0.08 1 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
TEST_V_SCALE_EMI_CMR_BB 0.75 0.17 0.08 1 1 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
TEST_V_SCALE_EMI_CMR_BF 0.75 0.17 0.08 1 1 1 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
TEST_V_SCALE_EMI_CMR_FF 0.75 0.17 0.08 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
TEST_V_SCALE_EMI_DMS 0.75 0.17 0.08 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 0 0 0
TEST_V_SCALE_EMI_FF 0.75 0.17 0.08 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 0 0 0
TEST_V_SCALE_NUC_BL 0.75 0.17 0.08 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 0 0 0
TEST_V_SCALE_NUC_FT 0.75 0.17 0.08 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 0 0 0
TEST_V_SCALE_SO4_COATING 0.75 0.17 0.08 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 1 1 1 0 0 0
TEST_V_SCALE_PH_PERT 0.75 0.17 0.08 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 1 1 0 0 0
TEST_V_SCALE_VERTICAL_VELOCITY 0.75 0.17 0.08 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 1 0 0 0
TEST_V_SCALE_WETDEP_BC 0.75 0.17 0.08 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1 0 0 0
TEST_V_SCALE_WETDEP_BC_BC_ONLY 0.75 0.17 0.08 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 0 0 0
TEST_V_SCALE_WETDEP_IC 0.75 0.17 0.08 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 0 0 0
TEST_V_SCALE_WETDEP_IC_BC_ONLY 0.75 0.17 0.08 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 0 0 0
